table,file,select,join,insert,update,delete,total_refs
t_almacen,AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,1,12,0,0,0,13
t_almacen,AtlantesBE-main/AtlantesBE-main/app/routes/usuarios.php,0,4,0,0,0,4
t_almacen,AtlantesBE-main/AtlantesBE-main/app/services/DateTimeService.php,1,0,0,0,0,1
t_almacen,almacen.sql,0,2,0,0,0,2
t_almacendetalle,AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,1,23,0,0,0,24
t_almacendetalle,almacen.sql,0,2,0,0,0,2
t_anticipo,AtlantesBE-main/AtlantesBE-main/app/routes/contabilidad.php,0,11,2,0,0,13
t_ate_gas,AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,4,17,1,5,0,27
t_ate_gas_etapa,AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,2,3,2,5,0,12
t_ate_gas_etapa_imagen,AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,0,0,1,0,0,1
t_ate_gas_etapa_inventario,AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,2,1,1,2,0,6
t_ate_gas_etapa_inventario_imagen,AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,0,0,1,1,0,2
t_ate_gas_etapa_tecnico,AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,1,2,1,2,0,6
t_ate_gas_etapa_tecnico_qa,AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,1,0,1,2,0,4
t_ate_gas_etapa_tiempos,AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,0,4,1,2,0,7
t_ate_gas_motivo_pausa,AtlantesBE-main/AtlantesBE-main/app/routes/datosmaestro.php,1,0,0,0,0,1
t_ate_gas_ubicacion,AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,0,11,2,2,0,15
t_baseproductos,AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,0,15,0,0,0,15
t_baseproductos,AtlantesBE-main/AtlantesBE-main/app/routes/datosmaestro.php,1,1,2,1,1,6
t_baseproductos,almacen.sql,0,1,0,0,0,1
