action,table,file,line
JOIN,t_agentecarga,almacen.sql,4168
JOIN,t_embarque,almacen.sql,4192
JOIN,t_concepto,almacen.sql,4193
JOIN,t_factura,almacen.sql,4194
JOIN,t_notadebito,almacen.sql,4195
JOIN,t_tipocambio,almacen.sql,4196
JOIN,t_embarque,almacen.sql,4222
JOIN,t_concepto,almacen.sql,4223
JOIN,t_factura,almacen.sql,4224
JOIN,t_notadebito,almacen.sql,4225
JOIN,t_tipocambio,almacen.sql,4226
JOIN,t_embarque,almacen.sql,4252
JOIN,t_concepto,almacen.sql,4253
JOIN,t_factura,almacen.sql,4254
JOIN,t_notadebito,almacen.sql,4255
JOIN,t_tipocambio,almacen.sql,4256
JOIN,t_invoice,almacen.sql,4282
JOIN,t_invoice,almacen.sql,4307
JOIN,t_embarque,almacen.sql,4332
JOIN,t_concepto,almacen.sql,4333
JOIN,t_factura,almacen.sql,4334
JOIN,t_notadebito,almacen.sql,4335
JOIN,t_tipocambio,almacen.sql,4336
JOIN,t_embarque,almacen.sql,4362
JOIN,t_concepto,almacen.sql,4363
JOIN,t_factura,almacen.sql,4364
JOIN,t_notadebito,almacen.sql,4365
JOIN,t_tipocambio,almacen.sql,4366
JOIN,t_embarque,almacen.sql,4392
JOIN,t_concepto,almacen.sql,4393
JOIN,t_factura,almacen.sql,4394
JOIN,t_notadebito,almacen.sql,4395
JOIN,t_tipocambio,almacen.sql,4396
JOIN,t_embarque,almacen.sql,4422
JOIN,t_concepto,almacen.sql,4423
JOIN,t_factura,almacen.sql,4424
JOIN,t_notadebito,almacen.sql,4425
JOIN,t_tipocambio,almacen.sql,4426
JOIN,t_embarque,almacen.sql,4452
JOIN,t_concepto,almacen.sql,4453
JOIN,t_factura,almacen.sql,4454
JOIN,t_notadebito,almacen.sql,4455
JOIN,t_tipocambio,almacen.sql,4456
JOIN,t_embarque,almacen.sql,4482
JOIN,t_concepto,almacen.sql,4483
JOIN,t_factura,almacen.sql,4484
JOIN,t_notadebito,almacen.sql,4485
JOIN,t_tipocambio,almacen.sql,4486
JOIN,t_embarque,almacen.sql,4512
JOIN,t_concepto,almacen.sql,4513
JOIN,t_factura,almacen.sql,4514
JOIN,t_notadebito,almacen.sql,4515
JOIN,t_tipocambio,almacen.sql,4516
JOIN,t_embarque,almacen.sql,4542
JOIN,t_concepto,almacen.sql,4543
JOIN,t_factura,almacen.sql,4544
JOIN,t_notadebito,almacen.sql,4545
JOIN,t_tipocambio,almacen.sql,4546
JOIN,t_cargo,almacen.sql,4658
JOIN,t_tipocambio,almacen.sql,4659
JOIN,t_cliente,almacen.sql,4660
JOIN,t_proveedor,almacen.sql,4661
JOIN,t_prestador,almacen.sql,4662
JOIN,t_transportista,almacen.sql,4663
JOIN,t_agentecarga,almacen.sql,4664
JOIN,t_cargo,almacen.sql,4704
JOIN,t_tipocambio,almacen.sql,4705
JOIN,t_cliente,almacen.sql,4706
JOIN,t_proveedor,almacen.sql,4707
JOIN,t_prestador,almacen.sql,4708
JOIN,t_transportista,almacen.sql,4709
JOIN,t_agentecarga,almacen.sql,4710
JOIN,t_costo,almacen.sql,4736
JOIN,t_tipocambio,almacen.sql,4737
JOIN,t_facturapago,almacen.sql,4761
JOIN,t_tipocambio,almacen.sql,4762
JOIN,t_embarque,almacen.sql,4808
JOIN,t_factura,almacen.sql,4809
JOIN,t_notadebito,almacen.sql,4810
JOIN,t_tipocambio,almacen.sql,4811
JOIN,t_embarque,almacen.sql,4835
JOIN,t_factura,almacen.sql,4836
JOIN,t_notadebito,almacen.sql,4837
JOIN,t_tipocambio,almacen.sql,4838
JOIN,t_embarque,almacen.sql,4863
JOIN,t_factura,almacen.sql,4864
JOIN,t_notadebito,almacen.sql,4865
JOIN,t_tipocambio,almacen.sql,4866
JOIN,t_embarque,almacen.sql,4891
JOIN,t_concepto,almacen.sql,4892
JOIN,t_factura,almacen.sql,4893
JOIN,t_notadebito,almacen.sql,4894
JOIN,t_tipocambio,almacen.sql,4895
JOIN,t_tipocambio,almacen.sql,4963
JOIN,t_facturapago,almacen.sql,4985
JOIN,t_embarque,almacen.sql,4986
JOIN,t_tipocambio,almacen.sql,4987
JOIN,t_facturapago,almacen.sql,5011
JOIN,t_embarque,almacen.sql,5012
JOIN,t_tipocambio,almacen.sql,5013
JOIN,t_facturapago,almacen.sql,5038
JOIN,t_embarque,almacen.sql,5039
JOIN,t_tipocambio,almacen.sql,5040
JOIN,t_facturapago,almacen.sql,5065
JOIN,t_concepto,almacen.sql,5066
JOIN,t_embarque,almacen.sql,5067
JOIN,t_tipocambio,almacen.sql,5068
JOIN,t_cargo,almacen.sql,5094
JOIN,t_embarque,almacen.sql,5095
JOIN,t_tipocambio,almacen.sql,5096
JOIN,t_cargo,almacen.sql,5120
JOIN,t_tipocambio,almacen.sql,5121
JOIN,t_cargo,almacen.sql,5146
JOIN,t_tipocambio,almacen.sql,5147
JOIN,t_cargo,almacen.sql,5192
JOIN,t_embarque,almacen.sql,5193
JOIN,t_tipocambio,almacen.sql,5194
JOIN,t_cargo,almacen.sql,5218
JOIN,t_tipocambio,almacen.sql,5219
JOIN,t_cargo,almacen.sql,5244
JOIN,t_tipocambio,almacen.sql,5245
JOIN,t_cargo,almacen.sql,5269
JOIN,t_tipocambio,almacen.sql,5270
JOIN,t_cargo,almacen.sql,5294
JOIN,t_embarque,almacen.sql,5295
JOIN,t_tipocambio,almacen.sql,5296
JOIN,t_cargo,almacen.sql,5319
JOIN,t_tipocambio,almacen.sql,5320
JOIN,t_cargo,almacen.sql,5343
JOIN,t_embarque,almacen.sql,5344
JOIN,t_tipocambio,almacen.sql,5345
JOIN,t_facturapago,almacen.sql,5368
JOIN,t_tipocambio,almacen.sql,5369
JOIN,t_divisa,almacen.sql,5370
JOIN,t_facturapago,almacen.sql,5394
JOIN,t_tipocambio,almacen.sql,5395
JOIN,t_costo,almacen.sql,5420
JOIN,t_embarque,almacen.sql,5421
JOIN,t_tipocambio,almacen.sql,5422
JOIN,t_cargo,almacen.sql,5445
JOIN,t_embarque,almacen.sql,5446
JOIN,t_tipocambio,almacen.sql,5447
JOIN,t_costo,almacen.sql,5470
JOIN,t_tipocambio,almacen.sql,5471
JOIN,t_costo,almacen.sql,5494
JOIN,t_embarque,almacen.sql,5495
JOIN,t_tipocambio,almacen.sql,5496
JOIN,t_cargo,almacen.sql,5520
JOIN,t_embarque,almacen.sql,5521
JOIN,t_tipocambio,almacen.sql,5522
JOIN,t_cargo,almacen.sql,5546
JOIN,t_embarque,almacen.sql,5547
JOIN,t_tipocambio,almacen.sql,5548
SELECT,PAC_PARAM_FACTURAS,AtlantesBE-main/AtlantesBE-main/app/functions/generarcodigocontrol.php,161
INSERT,ocr_prm_atlantes,AtlantesBE-main/AtlantesBE-main/app/functions/integraciones_asgard.php,75
UPDATE,dav_casos,AtlantesBE-main/AtlantesBE-main/app/functions/integraciones_asgard.php,247
UPDATE,dav_casos,AtlantesBE-main/AtlantesBE-main/app/functions/integraciones_asgard.php,250
INSERT,log_ovp,AtlantesBE-main/AtlantesBE-main/app/functions/logOVP.php,9
SELECT,t_usuario,AtlantesBE-main/AtlantesBE-main/app/functions/logOVP.php,46
SELECT,share,AtlantesBE-main/AtlantesBE-main/app/functions/logOVP.php,61
SELECT,proxy,AtlantesBE-main/AtlantesBE-main/app/functions/logOVP.php,64
SELECT,t_facturapago,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,9
JOIN,t_concepto,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,36
JOIN,t_facturapago,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,37
JOIN,t_tipocambio,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,38
JOIN,t_divisa,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,39
JOIN,t_cargo,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,59
